weight_bytes,glb_bytes,glb_avail_for_weights,n_tiles,dram_read_bytes,ifmap_re_read_bytes,fits_in_glb,layer,in_features,out_features,macs,glb_kib
1048576,16384,10240,103,1048576,417792,False,FC6,4096,256,1048576,16
32768,16384,15104,3,32768,512,False,FC7,256,128,32768,16
1280,16384,16176,1,1280,0,True,FC8,128,10,1280,16
1048576,32768,26624,40,1048576,159744,False,FC6,4096,256,1048576,32
32768,32768,31488,2,32768,256,False,FC7,256,128,32768,32
1280,32768,32560,1,1280,0,True,FC8,128,10,1280,32
1048576,65536,59392,18,1048576,69632,False,FC6,4096,256,1048576,64
32768,65536,64256,1,32768,0,True,FC7,256,128,32768,64
1280,65536,65328,1,1280,0,True,FC8,128,10,1280,64
1048576,131072,124928,9,1048576,32768,False,FC6,4096,256,1048576,128
32768,131072,129792,1,32768,0,True,FC7,256,128,32768,128
1280,131072,130864,1,1280,0,True,FC8,128,10,1280,128
1048576,262144,256000,5,1048576,16384,False,FC6,4096,256,1048576,256
32768,262144,260864,1,32768,0,True,FC7,256,128,32768,256
1280,262144,261936,1,1280,0,True,FC8,128,10,1280,256
1048576,524288,518144,3,1048576,8192,False,FC6,4096,256,1048576,512
32768,524288,523008,1,32768,0,True,FC7,256,128,32768,512
1280,524288,524080,1,1280,0,True,FC8,128,10,1280,512
1048576,1048576,1042432,2,1048576,4096,False,FC6,4096,256,1048576,1024
32768,1048576,1047296,1,32768,0,True,FC7,256,128,32768,1024
1280,1048576,1048368,1,1280,0,True,FC8,128,10,1280,1024
