layer,glb_usage,glb_ifmap_read,glb_filter_read,glb_bias_read,glb_psum_read_conv,glb_psum_read_pool,glb_psum_read,glb_psum_write_conv,glb_ofmap_write_pool,glb_psum_write,glb_read,glb_write,glb_access,dram_ifmap_read,dram_filter_read,dram_bias_read,dram_read,dram_write,dram_access,macs,latency,energy_total,power_total,intensity,peak_performance,peak_bandwidth,bound_by,infeasible,glb_kib
conv1,9264,18432,13824,2048,0,262144,262144,262144,16384,278528,296448,278528,574976,18432,13824,2048,34304,16384,50688,1769472,678528,19.595936,5776.013959630258,34.90909090909091,48,4,compute,False,16
conv2,13872,983040,221184,1536,1376256,196608,1572864,1572864,12288,1585152,2778624,1585152,4363776,163840,221184,1536,386560,12288,398848,28311552,2926208,180.762016,12354.693582957876,70.98331193838254,48,4,compute,False,16
conv3,13232,1474560,663552,1536,2260992,98304,2359296,2359296,24576,2383872,4498944,2383872,6882816,122880,663552,1536,787968,24576,812544,42467328,4481664,317.392032,14164.026218833003,52.26465028355388,48,4,compute,False,16
conv4,9136,1966080,884736,1024,3080192,65536,3145728,3145728,16384,3162112,5997568,3162112,9159680,245760,884736,1024,1131520,16384,1147904,56623104,6031104,435.931584,14456.11231376544,49.32738626226583,48,4,compute,False,16
conv5,9136,1310720,589824,1024,2031616,65536,2097152,2097152,4096,2101248,3998720,2101248,6099968,163840,589824,1024,754688,4096,758784,37748736,4080384,289.27404800000005,14178.76592007027,49.74898785425101,48,4,compute,False,16
conv1,17592,30720,6912,1024,0,262144,262144,262144,16384,278528,300800,278528,579328,15360,6912,1024,23296,16384,39680,1769472,666944,17.43496,5228.313021782938,44.593548387096774,48,4,compute,False,32
conv2,26160,983040,221184,1536,1376256,196608,1572864,1572864,12288,1585152,2778624,1585152,4363776,81920,221184,1536,304640,12288,316928,28311552,2823808,164.35241599999998,11640.480939213998,89.33117932148627,48,4,compute,False,32
conv3,25520,1474560,663552,1536,2260992,98304,2359296,2359296,24576,2383872,4498944,2383872,6882816,61440,663552,1536,726528,24576,751104,42467328,4404864,305.084832,13852.179408944294,56.5398773006135,48,4,compute,False,32
conv4,17328,1966080,884736,1024,3080192,65536,3145728,3145728,16384,3162112,5997568,3162112,9159680,122880,884736,1024,1008640,16384,1025024,56623104,5877504,411.317184,13996.321703906964,55.24075924075924,48,4,compute,False,32
conv5,17328,1310720,589824,1024,2031616,65536,2097152,2097152,4096,2101248,3998720,2101248,6099968,81920,589824,1024,672768,4096,676864,37748736,3977984,272.86444800000004,13718.730291524553,55.77004538577912,48,4,compute,False,32
conv1,33976,30720,6912,1024,0,262144,262144,262144,16384,278528,300800,278528,579328,7680,6912,1024,15616,16384,32000,1769472,657344,15.89656,4836.603057151202,55.296,48,4,compute,False,64
conv2,50736,983040,221184,1536,1376256,196608,1572864,1572864,12288,1585152,2778624,1585152,4363776,40960,221184,1536,263680,12288,275968,28311552,2772608,156.14761599999997,11263.591246941507,102.5899814471243,48,4,compute,False,64
conv3,50096,1474560,663552,1536,2260992,98304,2359296,2359296,24576,2383872,4498944,2383872,6882816,30720,663552,1536,695808,24576,720384,42467328,4366464,298.93123199999997,13692.142291794917,58.95095948827292,48,4,compute,False,64
conv4,33712,1966080,884736,1024,3080192,65536,3145728,3145728,16384,3162112,5997568,3162112,9159680,61440,884736,1024,947200,16384,963584,56623104,5800704,399.009984,13757.29511452403,58.76301806588735,48,4,compute,False,64
conv5,33712,1310720,589824,1024,2031616,65536,2097152,2097152,4096,2101248,3998720,2101248,6099968,40960,589824,1024,631808,4096,635904,37748736,3926784,264.659648,13479.715105287176,59.36231884057971,48,4,compute,False,64
conv1,66744,30720,6912,1024,0,262144,262144,262144,16384,278528,300800,278528,579328,3840,6912,1024,11776,16384,28160,1769472,652544,15.127359999999998,4636.426049431148,62.836363636363636,48,4,compute,False,128
conv2,99888,983040,221184,1536,1376256,196608,1572864,1572864,12288,1585152,2778624,1585152,4363776,20480,221184,1536,243200,12288,255488,28311552,2747008,152.04521599999998,11069.877918083965,110.81362725450902,48,4,compute,False,128
conv3,99248,1474560,663552,1536,2260992,98304,2359296,2359296,24576,2383872,4498944,2383872,6882816,15360,663552,1536,680448,24576,705024,42467328,4347264,295.854432,13611.063510290609,60.23529411764706,48,4,compute,False,128
conv4,66480,1966080,884736,1024,3080192,65536,3145728,3145728,16384,3162112,5997568,3162112,9159680,30720,884736,1024,916480,16384,932864,56623104,5762304,392.856384,13635.392509662799,60.69813391877058,48,4,compute,False,128
conv5,66480,1310720,589824,1024,2031616,65536,2097152,2097152,4096,2101248,3998720,2101248,6099968,20480,589824,1024,611328,4096,615424,37748736,3901184,260.557248,13357.854846118511,61.33777038269551,48,4,compute,False,128
conv1,66744,30720,6912,1024,0,262144,262144,262144,16384,278528,300800,278528,579328,3840,6912,1024,11776,16384,28160,1769472,652544,15.127359999999998,4636.426049431148,62.836363636363636,48,4,compute,False,256
conv2,99888,983040,221184,1536,1376256,196608,1572864,1572864,12288,1585152,2778624,1585152,4363776,20480,221184,1536,243200,12288,255488,28311552,2747008,152.04521599999998,11069.877918083965,110.81362725450902,48,4,compute,False,256
conv3,99248,1474560,663552,1536,2260992,98304,2359296,2359296,24576,2383872,4498944,2383872,6882816,15360,663552,1536,680448,24576,705024,42467328,4347264,295.854432,13611.063510290609,60.23529411764706,48,4,compute,False,256
conv4,66480,1966080,884736,1024,3080192,65536,3145728,3145728,16384,3162112,5997568,3162112,9159680,30720,884736,1024,916480,16384,932864,56623104,5762304,392.856384,13635.392509662799,60.69813391877058,48,4,compute,False,256
conv5,66480,1310720,589824,1024,2031616,65536,2097152,2097152,4096,2101248,3998720,2101248,6099968,20480,589824,1024,611328,4096,615424,37748736,3901184,260.557248,13357.854846118511,61.33777038269551,48,4,compute,False,256
conv1,66744,30720,6912,1024,0,262144,262144,262144,16384,278528,300800,278528,579328,3840,6912,1024,11776,16384,28160,1769472,652544,15.127359999999998,4636.426049431148,62.836363636363636,48,4,compute,False,512
conv2,99888,983040,221184,1536,1376256,196608,1572864,1572864,12288,1585152,2778624,1585152,4363776,20480,221184,1536,243200,12288,255488,28311552,2747008,152.04521599999998,11069.877918083965,110.81362725450902,48,4,compute,False,512
conv3,99248,1474560,663552,1536,2260992,98304,2359296,2359296,24576,2383872,4498944,2383872,6882816,15360,663552,1536,680448,24576,705024,42467328,4347264,295.854432,13611.063510290609,60.23529411764706,48,4,compute,False,512
conv4,66480,1966080,884736,1024,3080192,65536,3145728,3145728,16384,3162112,5997568,3162112,9159680,30720,884736,1024,916480,16384,932864,56623104,5762304,392.856384,13635.392509662799,60.69813391877058,48,4,compute,False,512
conv5,66480,1310720,589824,1024,2031616,65536,2097152,2097152,4096,2101248,3998720,2101248,6099968,20480,589824,1024,611328,4096,615424,37748736,3901184,260.557248,13357.854846118511,61.33777038269551,48,4,compute,False,512
